"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent of People Who Drove to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranmv","TimeFrame","GeoVintage","Source","Location"
"Block Group","060990020052","CA","060990020052","=""060990020052""","93.57","2019-2023","2022","Census","California (State)"
"Block Group","060990020061","CA","060990020061","=""060990020061""","84.11","2019-2023","2022","Census","California (State)"
"Block Group","060990020062","CA","060990020062","=""060990020062""","96.34","2019-2023","2022","Census","California (State)"
"Block Group","060990021001","CA","060990021001","=""060990021001""","82.78","2019-2023","2022","Census","California (State)"
"Block Group","060990021002","CA","060990021002","=""060990021002""","84.14","2019-2023","2022","Census","California (State)"
"Block Group","060990022001","CA","060990022001","=""060990022001""","78.59","2019-2023","2022","Census","California (State)"
"Block Group","060990022002","CA","060990022002","=""060990022002""","94.37","2019-2023","2022","Census","California (State)"
"Block Group","060990022003","CA","060990022003","=""060990022003""","88.37","2019-2023","2022","Census","California (State)"
"Block Group","060990022004","CA","060990022004","=""060990022004""","79.52","2019-2023","2022","Census","California (State)"
"Block Group","060990023021","CA","060990023021","=""060990023021""","91.10","2019-2023","2022","Census","California (State)"
"Block Group","060990023022","CA","060990023022","=""060990023022""","92.98","2019-2023","2022","Census","California (State)"
"Block Group","060990023031","CA","060990023031","=""060990023031""","97.99","2019-2023","2022","Census","California (State)"
"Block Group","060990023032","CA","060990023032","=""060990023032""","94.01","2019-2023","2022","Census","California (State)"
"Block Group","060990023033","CA","060990023033","=""060990023033""","82.60","2019-2023","2022","Census","California (State)"
"Block Group","060990023041","CA","060990023041","=""060990023041""","83.65","2019-2023","2022","Census","California (State)"
"Block Group","060990023042","CA","060990023042","=""060990023042""","87.14","2019-2023","2022","Census","California (State)"
"Block Group","060990024011","CA","060990024011","=""060990024011""","90.61","2019-2023","2022","Census","California (State)"
"Block Group","060990024012","CA","060990024012","=""060990024012""","93.99","2019-2023","2022","Census","California (State)"
"Block Group","060990024021","CA","060990024021","=""060990024021""","99.11","2019-2023","2022","Census","California (State)"
"Block Group","060990024022","CA","060990024022","=""060990024022""","97.91","2019-2023","2022","Census","California (State)"
