"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Block Group","060871216022","CA","060871216022","=""060871216022""","8904.04","2019-2023","2022","Census","California (State)"
"Block Group","060871217011","CA","060871217011","=""060871217011""","10135.55","2019-2023","2022","Census","California (State)"
"Block Group","060871217012","CA","060871217012","=""060871217012""","11109.93","2019-2023","2022","Census","California (State)"
"Block Group","060871217013","CA","060871217013","=""060871217013""","5974.50","2019-2023","2022","Census","California (State)"
"Block Group","060871217021","CA","060871217021","=""060871217021""","3081.73","2019-2023","2022","Census","California (State)"
"Block Group","060871217022","CA","060871217022","=""060871217022""","9471.50","2019-2023","2022","Census","California (State)"
"Block Group","060871218011","CA","060871218011","=""060871218011""","4651.40","2019-2023","2022","Census","California (State)"
"Block Group","060871218012","CA","060871218012","=""060871218012""","4896.52","2019-2023","2022","Census","California (State)"
"Block Group","060871218021","CA","060871218021","=""060871218021""","6538.50","2019-2023","2022","Census","California (State)"
"Block Group","060871218022","CA","060871218022","=""060871218022""","5476.28","2019-2023","2022","Census","California (State)"
"Block Group","060871220011","CA","060871220011","=""060871220011""","191.22","2019-2023","2022","Census","California (State)"
"Block Group","060871220012","CA","060871220012","=""060871220012""","2076.14","2019-2023","2022","Census","California (State)"
