"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent of People Who Drove to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranmv","TimeFrame","GeoVintage","Source","Location"
"Block Group","040136178001","AZ","040136178001","=""040136178001""","67.31","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136178002","AZ","040136178002","=""040136178002""","75.27","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136179001","AZ","040136179001","=""040136179001""","78.10","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136179002","AZ","040136179002","=""040136179002""","65.66","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136179003","AZ","040136179003","=""040136179003""","80.39","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136180001","AZ","040136180001","=""040136180001""","73.06","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136180002","AZ","040136180002","=""040136180002""","83.74","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136180003","AZ","040136180003","=""040136180003""","85.59","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136181001","AZ","040136181001","=""040136181001""","79.32","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136181002","AZ","040136181002","=""040136181002""","70.88","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136181003","AZ","040136181003","=""040136181003""","63.09","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136182001","AZ","040136182001","=""040136182001""","82.63","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136182002","AZ","040136182002","=""040136182002""","84.94","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136183001","AZ","040136183001","=""040136183001""","72.82","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136183002","AZ","040136183002","=""040136183002""","87.48","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136184001","AZ","040136184001","=""040136184001""","89.49","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136184002","AZ","040136184002","=""040136184002""","81.73","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136185001","AZ","040136185001","=""040136185001""","82.88","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136185002","AZ","040136185002","=""040136185002""","90.99","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136185003","AZ","040136185003","=""040136185003""","76.60","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136186001","AZ","040136186001","=""040136186001""","80.98","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136186002","AZ","040136186002","=""040136186002""","72.44","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136186003","AZ","040136186003","=""040136186003""","65.91","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136187001","AZ","040136187001","=""040136187001""","74.51","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136187002","AZ","040136187002","=""040136187002""","81.63","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136188001","AZ","040136188001","=""040136188001""","79.48","2019-2023","2022","Census","Arizona (State)"
