"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Jobs within 45 Minutes Auto Travel Time","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d5ar","TimeFrame","GeoVintage","Source","Location"
"Block Group","040050013021","AZ","040050013021","=""040050013021""","4088","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013022","AZ","040050013022","=""040050013022""","2060","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013023","AZ","040050013023","=""040050013023""","1236","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050015001","AZ","040050015001","=""040050015001""","5049","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050015002","AZ","040050015002","=""040050015002""","2242","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050015003","AZ","040050015003","=""040050015003""","107","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050015004","AZ","040050015004","=""040050015004""","102","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050016001","AZ","040050016001","=""040050016001""","1864","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050016002","AZ","040050016002","=""040050016002""","1880","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050016003","AZ","040050016003","=""040050016003""","2127","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050017001","AZ","040050017001","=""040050017001""","522","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050017002","AZ","040050017002","=""040050017002""","433","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050017003","AZ","040050017003","=""040050017003""","1425","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050017004","AZ","040050017004","=""040050017004""","701","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050020001","AZ","040050020001","=""040050020001""","492","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050020002","AZ","040050020002","=""040050020002""","891","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021001","AZ","040050021001","=""040050021001""","1929","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021002","AZ","040050021002","=""040050021002""","1816","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021003","AZ","040050021003","=""040050021003""","1722","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021004","AZ","040050021004","=""040050021004""","2214","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021005","AZ","040050021005","=""040050021005""","2127","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021006","AZ","040050021006","=""040050021006""","2003","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021007","AZ","040050021007","=""040050021007""","2618","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050022001","AZ","040050022001","=""040050022001""","5071","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050022002","AZ","040050022002","=""040050022002""","5748","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050022003","AZ","040050022003","=""040050022003""","6218","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050022004","AZ","040050022004","=""040050022004""","389","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050022005","AZ","040050022005","=""040050022005""","3677","2021","2010","EPA Smart Location Database","Arizona (State)"
